%File: MA_CRP_09032023.CRS
%DIDACTA Italia:
%Exercise on: C.R.P. OpenLoop

%Test Date: 05/09/2000   User:                               

%Test #: 0

%Sample Rate: 1 s

%Notes: 


%----------
% #       time  Out.Sig  Act.Sig    Noise       SP      
%        [sec]      [%]      [%]      [%]      [%]      
138     139.0     50.9     20.0      0.0     50.0
139     140.0     51.0     20.0      0.0     50.0
140     141.0     50.9     20.0      0.0     50.0
141     142.0     51.1     20.0      0.0     50.0
142     143.0     51.0     20.0      0.0     50.0
143     144.0     51.0     20.0      0.0     50.0
144     145.0     51.0     20.0      0.0     50.0
145     146.0     51.1     20.0      0.0     50.0
146     147.0     50.9     20.0      0.0     50.0
147     148.0     51.0     20.0      0.0     50.0
148     149.0     50.9     20.0      0.0     50.0
149     150.0     51.0     20.0      0.0     50.0
150     151.0     51.0     20.0      0.0     50.0
151     152.0     51.0     20.0      0.0     50.0
152     153.0     50.9     20.0      0.0     50.0
153     154.0     51.0     20.0      0.0     50.0
154     155.0     50.9     20.0      0.0     50.0
155     156.0     50.9     20.0      0.0     50.0
156     157.0     51.0     20.0      0.0     50.0
157     158.0     51.0     20.0      0.0     50.0
158     159.0     51.0     20.0      0.0     50.0
159     160.0     51.1     20.0      0.0     50.0
160     161.0     50.8     20.0      0.0     50.0
161     162.0     50.9     20.0      0.0     50.0
162     163.0     50.9     20.0      0.0     50.0
163     164.0     50.9     20.0      0.0     50.0
164     165.0     50.9     20.0      0.0     50.0
165     166.0     50.9     20.0      0.0     50.0
166     167.0     51.0     20.0      0.0     50.0
167     168.0     51.0     20.0      0.0     50.0
168     169.0     51.0     20.0      0.0     50.0
169     170.0     50.9     20.0      0.0     50.0
170     171.0     50.9     20.0      0.0     50.0
171     172.0     50.9     20.0      0.0     50.0
172     173.0     50.9     20.0      0.0     50.0
173     174.0     51.0     20.0      0.0     50.0
174     175.0     50.9     20.0      0.0     50.0
175     176.0     51.0     20.0      0.0     50.0
176     177.0     50.9     20.0      0.0     50.0
177     178.0     51.0     20.0      0.0     50.0
178     179.0     50.9     20.0      0.0     50.0
179     180.0     51.0     20.0      0.0     50.0
180     181.0     51.0     20.0      0.0     50.0
181     182.0     51.0     20.0      0.0     50.0
182     183.0     50.9     20.0      0.0     50.0
183     184.0     51.0     20.0      0.0     50.0
184     185.0     51.0     20.0      0.0     50.0
185     186.0     51.0     20.0      0.0     50.0
186     187.0     51.1     20.0      0.0     50.0
187     188.0     50.9     20.0      0.0     50.0
188     189.0     50.9     20.0      0.0     50.0
189     190.0     50.9     20.0      0.0     50.0
190     191.0     51.0     20.0      0.0     50.0
191     192.0     51.0     20.0      0.0     50.0
192     193.0     51.0     20.0      0.0     50.0
193     194.0     50.9     20.0      0.0     50.0
194     195.0     50.9     20.0      0.0     50.0
195     196.0     50.9     20.0      0.0     50.0
196     197.0     51.0     20.0      0.0     50.0
197     198.0     51.0     20.0      0.0     50.0
198     199.0     51.0     20.0      0.0     50.0
199     200.0     51.1     20.0      0.0     50.0
200     201.0     51.0     20.0      0.0     50.0
201     202.0     51.1     20.0      0.0     50.0
202     203.0     50.9     20.0      0.0     50.0
203     204.0     50.9     20.0      0.0     50.0
204     205.0     51.0     20.0      0.0     50.0
205     206.0     50.9     20.0      0.0     50.0
206     207.0     50.9     20.0      0.0     50.0
207     208.0     51.1     20.0      0.0     50.0
208     209.0     50.9     20.0      0.0     50.0
209     210.0     50.9     20.0      0.0     50.0
210     211.0     51.0     20.0      0.0     50.0
211     212.0     50.9     20.0      0.0     50.0
212     213.0     50.9     20.0      0.0     50.0
213     214.0     50.9     20.0      0.0     50.0
214     215.0     51.0     20.0      0.0     50.0
215     216.0     50.9     20.0      0.0     50.0
216     217.0     50.8     20.0      0.0     50.0
217     218.0     50.9     20.0      0.0     50.0
218     219.0     51.0     20.0      0.0     50.0
219     220.0     51.0     20.0      0.0     50.0
220     221.0     50.9     20.0      0.0     50.0
221     222.0     50.8     20.0      0.0     50.0
222     223.0     50.8     20.0      0.0     50.0
223     224.0     50.8     20.0      0.0     50.0
224     225.0     50.9     20.0      0.0     50.0
225     226.0     50.7     20.0      0.0     50.0
226     227.0     50.8     20.0      0.0     50.0
227     228.0     50.8     20.0      0.0     50.0
228     229.0     50.8     20.0      0.0     50.0
229     230.0     50.7     20.0      0.0     50.0
230     231.0     50.8     20.0      0.0     50.0
231     232.0     50.8     20.0      0.0     50.0
232     233.0     50.8     20.0      0.0     50.0
233     234.0     50.8     20.0      0.0     50.0
234     235.0     50.7     20.0      0.0     50.0
235     236.0     50.8     20.0      0.0     50.0
236     237.0     50.7     20.0      0.0     50.0
237     238.0     50.7     20.0      0.0     50.0
238     239.0     50.7     20.0      0.0     50.0
239     240.0     50.7     20.0      0.0     50.0
240     241.0     50.8     20.0      0.0     50.0
241     242.0     50.6     20.0      0.0     50.0
242     243.0     50.8     20.0      0.0     50.0
243     244.0     50.8     20.0      0.0     50.0
244     245.0     50.6     20.0      0.0     50.0
245     246.0     50.8     20.0      0.0     50.0
246     247.0     50.8     20.0      0.0     50.0
247     248.0     50.8     20.0      0.0     50.0
248     249.0     50.6     20.0      0.0     50.0
249     250.0     50.7     20.0      0.0     50.0
250     251.0     50.7     20.0      0.0     50.0
251     252.0     50.7     20.0      0.0     50.0
252     253.0     50.6     20.0      0.0     50.0
253     254.0     50.7     20.0      0.0     50.0
254     255.0     50.8     20.0      0.0     50.0
255     256.0     50.7     20.0      0.0     50.0
256     257.0     50.5     20.0      0.0     50.0
257     258.0     50.6     20.0      0.0     50.0
258     259.0     50.6     20.0      0.0     50.0
259     260.0     50.8     20.0      0.0     50.0
260     261.0     50.6     20.0      0.0     50.0
261     262.0     50.6     20.0      0.0     50.0
262     263.0     50.6     20.0      0.0     50.0
263     264.0     50.6     20.0      0.0     50.0
264     265.0     50.7     20.0      0.0     50.0
265     266.0     50.6     20.0      0.0     50.0
266     267.0     50.6     20.0      0.0     50.0
267     268.0     50.7     20.0      0.0     50.0
268     269.0     50.6     20.0      0.0     50.0
269     270.0     50.7     20.0      0.0     50.0
270     271.0     50.6     20.0      0.0     50.0
271     272.0     50.7     20.0      0.0     50.0
272     273.0     50.7     20.0      0.0     50.0
273     274.0     50.7     20.0      0.0     50.0
274     275.0     50.6     20.0      0.0     50.0
275     276.0     50.7     20.0      0.0     50.0
276     277.0     50.7     20.0      0.0     50.0
277     278.0     50.7     20.0      0.0     50.0
278     279.0     50.7     20.0      0.0     50.0
279     280.0     50.6     20.0      0.0     50.0
280     281.0     50.6     20.0      0.0     50.0
281     282.0     50.6     20.0      0.0     50.0
282     283.0     50.7     20.0      0.0     50.0
283     284.0     50.6     20.0      0.0     50.0
284     285.0     50.9     20.0      0.0     50.0
285     286.0     50.6     20.0      0.0     50.0
286     287.0     50.5     25.0      0.0     50.0
287     288.0     50.8     25.0      0.0     50.0
288     289.0     50.6     25.0      0.0     50.0
289     290.0     50.8     25.0      0.0     50.0
290     291.0     50.8     25.0      0.0     50.0
291     292.0     50.7     25.0      0.0     50.0
292     293.0     50.7     25.0      0.0     50.0
293     294.0     50.7     25.0      0.0     50.0
294     295.0     50.7     25.0      0.0     50.0
295     296.0     50.7     25.0      0.0     50.0
296     297.0     50.8     25.0      0.0     50.0
297     298.0     50.6     25.0      0.0     50.0
298     299.0     50.6     25.0      0.0     50.0
299     300.0     50.6     25.0      0.0     50.0
300     301.0     50.8     25.0      0.0     50.0
301     302.0     50.6     25.0      0.0     50.0
302     303.0     50.6     25.0      0.0     50.0
303     304.0     50.8     25.0      0.0     50.0
304     305.0     50.7     25.0      0.0     50.0
305     306.0     50.7     25.0      0.0     50.0
306     307.0     50.5     25.0      0.0     50.0
307     308.0     50.6     25.0      0.0     50.0
308     309.0     50.8     25.0      0.0     50.0
309     310.0     50.7     25.0      0.0     50.0
310     311.0     50.7     25.0      0.0     50.0
311     312.0     50.7     25.0      0.0     50.0
312     313.0     50.7     25.0      0.0     50.0
313     314.0     50.7     25.0      0.0     50.0
314     315.0     50.7     25.0      0.0     50.0
315     316.0     50.7     25.0      0.0     50.0
316     317.0     50.7     25.0      0.0     50.0
317     318.0     50.7     25.0      0.0     50.0
318     319.0     50.6     25.0      0.0     50.0
319     320.0     50.6     25.0      0.0     50.0
320     321.0     50.7     25.0      0.0     50.0
321     322.0     50.7     25.0      0.0     50.0
322     323.0     50.8     25.0      0.0     50.0
323     324.0     50.7     25.0      0.0     50.0
324     325.0     50.7     25.0      0.0     50.0
325     326.0     50.7     25.0      0.0     50.0
326     327.0     50.7     25.0      0.0     50.0
327     328.0     50.8     25.0      0.0     50.0
328     329.0     50.8     25.0      0.0     50.0
329     330.0     50.8     25.0      0.0     50.0
330     331.0     50.6     25.0      0.0     50.0
331     332.0     50.7     25.0      0.0     50.0
332     333.0     50.7     25.0      0.0     50.0
333     334.0     50.7     25.0      0.0     50.0
334     335.0     50.6     25.0      0.0     50.0
335     336.0     50.8     25.0      0.0     50.0
336     337.0     50.7     25.0      0.0     50.0
337     338.0     50.8     25.0      0.0     50.0
338     339.0     50.7     25.0      0.0     50.0
339     340.0     50.8     25.0      0.0     50.0
340     341.0     50.8     25.0      0.0     50.0
341     342.0     50.7     25.0      0.0     50.0
342     343.0     50.7     25.0      0.0     50.0
343     344.0     50.7     25.0      0.0     50.0
344     345.0     50.7     25.0      0.0     50.0
345     346.0     50.7     25.0      0.0     50.0
346     347.0     50.7     25.0      0.0     50.0
347     348.0     50.8     25.0      0.0     50.0
348     349.0     50.8     25.0      0.0     50.0
349     350.0     50.7     30.0      0.0     50.0
350     351.0     45.0     30.0      0.0     50.0
351     352.0     39.7     30.0      0.0     50.0
352     353.0     36.1     30.0      0.0     50.0
